Namespace(batch_size=512, dataset='CMAPSS/FD001', dump_dir='dump/CMAPSS/FD001/min-max/bayesian_dense3/bayesian_dense3_6', model='bayesian_dense3', model_path='log/CMAPSS/FD001/min-max/bayesian_dense3/bayesian_dense3_6/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 30010
use_cuda: True
Dataset: CMAPSS/FD001
Restoring BayesianDense3...
Done.
**** start time: 2019-09-27 15:26:32.046738 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
           Flatten-1                  [-1, 420]               0
    BayesianLinear-2                  [-1, 100]          84,000
           Sigmoid-3                  [-1, 100]               0
    BayesianLinear-4                  [-1, 100]          20,000
           Sigmoid-5                  [-1, 100]               0
    BayesianLinear-6                  [-1, 100]          20,000
           Sigmoid-7                  [-1, 100]               0
    BayesianLinear-8                    [-1, 1]             200
          Softplus-9                    [-1, 1]               0
================================================================
Total params: 124,200
Trainable params: 124,200
Non-trainable params: 0
________________________________________________________________
2019-09-27 15:26:32.056325
ground truth | pred +/- std:
77.00 | 122.25 +/- 1.40
57.00 | 74.32 +/- 2.64
124.00 | 100.64 +/- 5.80
90.00 | 105.74 +/- 4.14
93.00 | 107.57 +/- 4.02
37.00 | 43.65 +/- 1.49
28.00 | 24.32 +/- 1.31
91.00 | 111.52 +/- 3.68
113.00 | 90.90 +/- 5.36
58.00 | 89.95 +/- 4.20
84.00 | 87.36 +/- 3.04
20.00 | 18.93 +/- 1.51
142.00 | 123.02 +/- 1.60
126.00 | 113.80 +/- 3.13
11.00 | 12.68 +/- 1.35
114.00 | 89.56 +/- 3.86
69.00 | 46.99 +/- 1.52
26.00 | 32.06 +/- 1.63
137.00 | 117.58 +/- 2.30
28.00 | 33.57 +/- 1.75
21.00 | 18.55 +/- 1.32
9.00 | 9.33 +/- 1.13
50.00 | 56.29 +/- 2.05
135.00 | 122.56 +/- 1.38
97.00 | 113.23 +/- 3.02
96.00 | 91.17 +/- 4.93
89.00 | 101.64 +/- 6.19
79.00 | 93.30 +/- 4.50
20.00 | 19.64 +/- 1.39
18.00 | 21.25 +/- 1.45
111.00 | 121.34 +/- 1.42
90.00 | 89.61 +/- 7.11
114.00 | 106.23 +/- 4.26
111.00 | 122.09 +/- 1.53
103.00 | 105.11 +/- 3.38
119.00 | 120.49 +/- 1.76
82.00 | 71.36 +/- 2.31
59.00 | 56.30 +/- 2.37
82.00 | 71.47 +/- 3.74
115.00 | 115.54 +/- 2.59
106.00 | 111.67 +/- 3.81
50.00 | 51.18 +/- 1.67
19.00 | 22.51 +/- 1.34
94.00 | 84.00 +/- 4.08
63.00 | 116.37 +/- 2.53
97.00 | 115.82 +/- 3.19
145.00 | 117.52 +/- 2.70
83.00 | 103.70 +/- 5.52
128.00 | 111.16 +/- 3.46
10.00 | 12.21 +/- 1.33
95.00 | 73.94 +/- 3.39
21.00 | 25.07 +/- 1.42
72.00 | 94.66 +/- 4.47
115.00 | 122.35 +/- 1.39
91.00 | 107.08 +/- 3.68
54.00 | 43.66 +/- 1.52
66.00 | 96.93 +/- 4.54
8.00 | 5.32 +/- 1.17
92.00 | 108.16 +/- 5.21
47.00 | 44.30 +/- 1.33
137.00 | 122.74 +/- 1.62
7.00 | 4.56 +/- 1.05
8.00 | 7.85 +/- 1.37
118.00 | 122.15 +/- 1.46
85.00 | 57.23 +/- 2.31
107.00 | 122.96 +/- 1.44
109.00 | 119.61 +/- 1.79
121.00 | 121.34 +/- 1.50
14.00 | 20.79 +/- 1.37
113.00 | 122.42 +/- 1.52
38.00 | 26.93 +/- 1.75
100.00 | 115.72 +/- 2.74
55.00 | 81.32 +/- 3.56
136.00 | 119.83 +/- 1.68
117.00 | 121.20 +/- 1.57
28.00 | 32.68 +/- 1.68
118.00 | 116.87 +/- 3.54
97.00 | 68.56 +/- 3.37
137.00 | 121.23 +/- 1.61
50.00 | 59.97 +/- 2.88
16.00 | 15.08 +/- 1.27
21.00 | 13.91 +/- 1.22
112.00 | 121.22 +/- 1.48
34.00 | 30.07 +/- 1.48
95.00 | 107.47 +/- 3.69
131.00 | 106.46 +/- 4.75
10.00 | 8.53 +/- 1.07
107.00 | 122.01 +/- 1.40
8.00 | 8.32 +/- 1.25
29.00 | 32.57 +/- 1.72
116.00 | 121.92 +/- 1.59
15.00 | 20.50 +/- 1.59
59.00 | 57.43 +/- 2.55
98.00 | 122.46 +/- 1.45
128.00 | 121.71 +/- 1.66
20.00 | 23.77 +/- 1.45
114.00 | 100.62 +/- 4.84
28.00 | 22.10 +/- 1.23
48.00 | 55.15 +/- 2.10
87.00 | 89.01 +/- 4.96
eval mean loss: 112.18
eval rmse: 14.96
eval mae: 11.20
eval score: 547.03
epistemic: 8.39
epoch: 249
ground truth std: 41.56
pred std: 41.23
eval time: 0:00:02.259847
**** end time: 2019-09-27 15:26:34.329376 ****
