Namespace(batch_size=512, dataset='CMAPSS/FD001', dump_dir='dump/CMAPSS/FD001/min-max/frequentist_conv2_pool2/frequentist_conv2_pool2_8', model='frequentist_conv2_pool2', model_path='log/CMAPSS/FD001/min-max/frequentist_conv2_pool2/frequentist_conv2_pool2_8/checkpoint.pth.tar', normalization='min-max', num_mc=1)
pid: 31921
use_cuda: True
Dataset: CMAPSS/FD001
Restoring FrequentistConv2Pool2...
Done.
**** start time: 2019-09-27 16:50:36.194151 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1             [-1, 8, 26, 1]             560
           Sigmoid-2             [-1, 8, 26, 1]               0
         AvgPool2d-3             [-1, 8, 13, 1]               0
            Conv2d-4            [-1, 14, 12, 1]             224
           Sigmoid-5            [-1, 14, 12, 1]               0
         AvgPool2d-6             [-1, 14, 6, 1]               0
           Flatten-7                   [-1, 84]               0
            Linear-8                    [-1, 1]              84
================================================================
Total params: 868
Trainable params: 868
Non-trainable params: 0
________________________________________________________________
2019-09-27 16:50:36.199189
ground truth | pred +/- std:
77.00 | 104.66 +/- 0.00
57.00 | 99.01 +/- 0.00
124.00 | 98.13 +/- 0.00
90.00 | 85.08 +/- 0.00
93.00 | 101.57 +/- 0.00
37.00 | 65.91 +/- 0.00
28.00 | 52.89 +/- 0.00
91.00 | 89.49 +/- 0.00
113.00 | 104.43 +/- 0.00
58.00 | 68.61 +/- 0.00
84.00 | 104.71 +/- 0.00
20.00 | 52.51 +/- 0.00
142.00 | 104.74 +/- 0.00
126.00 | 96.41 +/- 0.00
11.00 | 52.38 +/- 0.00
114.00 | 62.19 +/- 0.00
69.00 | 64.76 +/- 0.00
26.00 | 52.91 +/- 0.00
137.00 | 104.74 +/- 0.00
28.00 | 52.63 +/- 0.00
21.00 | 53.60 +/- 0.00
9.00 | 53.93 +/- 0.00
50.00 | 89.00 +/- 0.00
135.00 | 103.69 +/- 0.00
97.00 | 104.41 +/- 0.00
96.00 | 98.01 +/- 0.00
89.00 | 95.16 +/- 0.00
79.00 | 104.16 +/- 0.00
20.00 | 52.62 +/- 0.00
18.00 | 92.81 +/- 0.00
111.00 | 102.41 +/- 0.00
90.00 | 94.96 +/- 0.00
114.00 | 103.40 +/- 0.00
111.00 | 104.66 +/- 0.00
103.00 | 92.12 +/- 0.00
119.00 | 104.72 +/- 0.00
82.00 | 104.01 +/- 0.00
59.00 | 81.70 +/- 0.00
82.00 | 83.25 +/- 0.00
115.00 | 86.72 +/- 0.00
106.00 | 84.62 +/- 0.00
50.00 | 58.92 +/- 0.00
19.00 | 52.47 +/- 0.00
94.00 | 95.02 +/- 0.00
63.00 | 104.63 +/- 0.00
97.00 | 102.08 +/- 0.00
145.00 | 104.73 +/- 0.00
83.00 | 104.71 +/- 0.00
128.00 | 104.70 +/- 0.00
10.00 | 63.52 +/- 0.00
95.00 | 98.88 +/- 0.00
21.00 | 89.16 +/- 0.00
72.00 | 93.05 +/- 0.00
115.00 | 102.37 +/- 0.00
91.00 | 103.89 +/- 0.00
54.00 | 56.99 +/- 0.00
66.00 | 104.53 +/- 0.00
8.00 | 52.38 +/- 0.00
92.00 | 101.35 +/- 0.00
47.00 | 52.93 +/- 0.00
137.00 | 104.51 +/- 0.00
7.00 | 52.74 +/- 0.00
8.00 | 52.38 +/- 0.00
118.00 | 104.42 +/- 0.00
85.00 | 52.66 +/- 0.00
107.00 | 104.75 +/- 0.00
109.00 | 101.81 +/- 0.00
121.00 | 104.72 +/- 0.00
14.00 | 52.39 +/- 0.00
113.00 | 104.75 +/- 0.00
38.00 | 53.69 +/- 0.00
100.00 | 97.99 +/- 0.00
55.00 | 62.02 +/- 0.00
136.00 | 101.94 +/- 0.00
117.00 | 104.74 +/- 0.00
28.00 | 77.11 +/- 0.00
118.00 | 104.08 +/- 0.00
97.00 | 94.64 +/- 0.00
137.00 | 104.28 +/- 0.00
50.00 | 53.07 +/- 0.00
16.00 | 52.55 +/- 0.00
21.00 | 53.28 +/- 0.00
112.00 | 104.74 +/- 0.00
34.00 | 75.77 +/- 0.00
95.00 | 100.51 +/- 0.00
131.00 | 104.73 +/- 0.00
10.00 | 52.38 +/- 0.00
107.00 | 104.65 +/- 0.00
8.00 | 52.39 +/- 0.00
29.00 | 56.31 +/- 0.00
116.00 | 104.75 +/- 0.00
15.00 | 52.86 +/- 0.00
59.00 | 80.86 +/- 0.00
98.00 | 103.48 +/- 0.00
128.00 | 104.75 +/- 0.00
20.00 | 53.60 +/- 0.00
114.00 | 104.74 +/- 0.00
28.00 | 60.96 +/- 0.00
48.00 | 66.79 +/- 0.00
87.00 | 104.69 +/- 0.00
eval mean loss: 386.29
eval rmse: 27.80
eval mae: 22.72
eval score: 4583.71
epistemic: 0.00
epoch: 249
ground truth std: 41.56
pred std: 21.56
eval time: 0:00:01.452782
**** end time: 2019-09-27 16:50:37.652267 ****
