Namespace(batch_size=512, dataset='CMAPSS/FD001', dump_dir='dump/CMAPSS/FD001/min-max/frequentist_conv5_dense1/frequentist_conv5_dense1_7', model='frequentist_conv5_dense1', model_path='log/CMAPSS/FD001/min-max/frequentist_conv5_dense1/frequentist_conv5_dense1_7/checkpoint.pth.tar', normalization='min-max', num_mc=1)
pid: 31188
use_cuda: True
Dataset: CMAPSS/FD001
Restoring FrequentistConv5Dense1...
Done.
**** start time: 2019-09-27 16:26:46.211209 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 10, 31, 14]             100
              Tanh-2           [-1, 10, 31, 14]               0
            Conv2d-3           [-1, 10, 30, 14]           1,000
              Tanh-4           [-1, 10, 30, 14]               0
            Conv2d-5           [-1, 10, 31, 14]           1,000
              Tanh-6           [-1, 10, 31, 14]               0
            Conv2d-7           [-1, 10, 30, 14]           1,000
              Tanh-8           [-1, 10, 30, 14]               0
            Conv2d-9            [-1, 1, 30, 14]              30
             Tanh-10            [-1, 1, 30, 14]               0
          Flatten-11                  [-1, 420]               0
          Dropout-12                  [-1, 420]               0
           Linear-13                  [-1, 100]          42,000
           Linear-14                    [-1, 1]             100
================================================================
Total params: 45,230
Trainable params: 45,230
Non-trainable params: 0
________________________________________________________________
2019-09-27 16:26:46.218195
ground truth | pred +/- std:
77.00 | 117.96 +/- 0.00
57.00 | 81.88 +/- 0.00
124.00 | 109.15 +/- 0.00
90.00 | 100.24 +/- 0.00
93.00 | 99.04 +/- 0.00
37.00 | 50.23 +/- 0.00
28.00 | 28.13 +/- 0.00
91.00 | 93.79 +/- 0.00
113.00 | 105.26 +/- 0.00
58.00 | 67.12 +/- 0.00
84.00 | 103.28 +/- 0.00
20.00 | 20.46 +/- 0.00
142.00 | 126.00 +/- 0.00
126.00 | 109.05 +/- 0.00
11.00 | 2.28 +/- 0.00
114.00 | 80.03 +/- 0.00
69.00 | 52.46 +/- 0.00
26.00 | 19.49 +/- 0.00
137.00 | 101.19 +/- 0.00
28.00 | 14.15 +/- 0.00
21.00 | 15.96 +/- 0.00
9.00 | 13.65 +/- 0.00
50.00 | 63.43 +/- 0.00
135.00 | 111.55 +/- 0.00
97.00 | 104.67 +/- 0.00
96.00 | 95.53 +/- 0.00
89.00 | 107.83 +/- 0.00
79.00 | 95.73 +/- 0.00
20.00 | 13.94 +/- 0.00
18.00 | 17.11 +/- 0.00
111.00 | 107.95 +/- 0.00
90.00 | 100.06 +/- 0.00
114.00 | 104.35 +/- 0.00
111.00 | 124.64 +/- 0.00
103.00 | 96.39 +/- 0.00
119.00 | 110.90 +/- 0.00
82.00 | 88.66 +/- 0.00
59.00 | 76.04 +/- 0.00
82.00 | 87.74 +/- 0.00
115.00 | 106.03 +/- 0.00
106.00 | 106.44 +/- 0.00
50.00 | 65.07 +/- 0.00
19.00 | 31.81 +/- 0.00
94.00 | 91.66 +/- 0.00
63.00 | 87.54 +/- 0.00
97.00 | 110.77 +/- 0.00
145.00 | 114.80 +/- 0.00
83.00 | 100.77 +/- 0.00
128.00 | 112.54 +/- 0.00
10.00 | 14.84 +/- 0.00
95.00 | 82.89 +/- 0.00
21.00 | 15.42 +/- 0.00
72.00 | 74.11 +/- 0.00
115.00 | 112.25 +/- 0.00
91.00 | 104.65 +/- 0.00
54.00 | 40.75 +/- 0.00
66.00 | 97.24 +/- 0.00
8.00 | 15.41 +/- 0.00
92.00 | 96.30 +/- 0.00
47.00 | 46.23 +/- 0.00
137.00 | 127.09 +/- 0.00
7.00 | 9.20 +/- 0.00
8.00 | 11.92 +/- 0.00
118.00 | 125.03 +/- 0.00
85.00 | 41.30 +/- 0.00
107.00 | 114.65 +/- 0.00
109.00 | 105.06 +/- 0.00
121.00 | 112.19 +/- 0.00
14.00 | 21.51 +/- 0.00
113.00 | 128.23 +/- 0.00
38.00 | 36.91 +/- 0.00
100.00 | 111.05 +/- 0.00
55.00 | 66.72 +/- 0.00
136.00 | 114.43 +/- 0.00
117.00 | 102.69 +/- 0.00
28.00 | 25.18 +/- 0.00
118.00 | 117.42 +/- 0.00
97.00 | 78.03 +/- 0.00
137.00 | 116.16 +/- 0.00
50.00 | 53.43 +/- 0.00
16.00 | 21.35 +/- 0.00
21.00 | 27.90 +/- 0.00
112.00 | 110.83 +/- 0.00
34.00 | 28.51 +/- 0.00
95.00 | 102.41 +/- 0.00
131.00 | 110.13 +/- 0.00
10.00 | 0.36 +/- 0.00
107.00 | 105.42 +/- 0.00
8.00 | 1.43 +/- 0.00
29.00 | 17.34 +/- 0.00
116.00 | 114.46 +/- 0.00
15.00 | 14.74 +/- 0.00
59.00 | 75.50 +/- 0.00
98.00 | 121.99 +/- 0.00
128.00 | 108.14 +/- 0.00
20.00 | 32.15 +/- 0.00
114.00 | 98.01 +/- 0.00
28.00 | 27.38 +/- 0.00
48.00 | 45.37 +/- 0.00
87.00 | 96.75 +/- 0.00
eval mean loss: 102.70
eval rmse: 14.33
eval mae: 11.11
eval score: 319.71
epistemic: 0.00
epoch: 249
ground truth std: 41.56
pred std: 39.54
eval time: 0:00:01.686459
**** end time: 2019-09-27 16:26:47.904957 ****
