Namespace(batch_size=512, dataset='CMAPSS/FD002', dump_dir='dump/CMAPSS/FD002/min-max/bayesian_conv2_pool2/bayesian_conv2_pool2_1', model='bayesian_conv2_pool2', model_path='log/CMAPSS/FD002/min-max/bayesian_conv2_pool2/bayesian_conv2_pool2_1/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 5327
use_cuda: True
Dataset: CMAPSS/FD002
Restoring BayesianConv2Pool2...
Done.
**** start time: 2019-10-01 01:43:39.604318 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
    BayesianConv2d-1            [-1, 8, 16, 11]           1,120
           Sigmoid-2            [-1, 8, 16, 11]               0
         AvgPool2d-3             [-1, 8, 8, 11]               0
    BayesianConv2d-4            [-1, 14, 7, 11]             448
           Sigmoid-5            [-1, 14, 7, 11]               0
         AvgPool2d-6            [-1, 14, 3, 11]               0
           Flatten-7                  [-1, 462]               0
    BayesianLinear-8                    [-1, 1]             924
          Softplus-9                    [-1, 1]               0
================================================================
Total params: 2,492
Trainable params: 2,492
Non-trainable params: 0
________________________________________________________________
2019-10-01 01:43:39.614475
ground truth | pred +/- std:
18.00 | 7.00 +/- 0.21
97.00 | 89.70 +/- 0.40
97.00 | 92.04 +/- 0.37
151.00 | 121.16 +/- 0.40
148.00 | 110.38 +/- 0.38
94.00 | 96.44 +/- 0.36
56.00 | 67.75 +/- 0.44
134.00 | 109.65 +/- 0.40
35.00 | 82.96 +/- 0.51
120.00 | 115.28 +/- 0.42
23.00 | 31.31 +/- 0.34
101.00 | 96.78 +/- 0.39
79.00 | 62.19 +/- 0.48
13.00 | 31.72 +/- 0.33
55.00 | 53.66 +/- 0.42
39.00 | 31.88 +/- 0.33
13.00 | 38.35 +/- 0.36
39.00 | 66.29 +/- 0.39
79.00 | 93.03 +/- 0.41
43.00 | 71.17 +/- 0.43
14.00 | 6.54 +/- 0.22
97.00 | 61.51 +/- 0.43
59.00 | 111.00 +/- 0.39
14.00 | 19.39 +/- 0.22
108.00 | 106.59 +/- 0.37
8.00 | 4.73 +/- 0.21
99.00 | 98.41 +/- 0.36
10.00 | 8.32 +/- 0.24
43.00 | 62.12 +/- 0.29
8.00 | 16.16 +/- 0.26
78.00 | 66.54 +/- 0.40
57.00 | 71.88 +/- 0.35
134.00 | 121.99 +/- 0.36
