Namespace(batch_size=512, dataset='CMAPSS/FD002', dump_dir='dump/CMAPSS/FD002/min-max/bayesian_conv5_dense1/bayesian_conv5_dense1_0.50/bayesian_conv5_dense1_0.50_7', model='bayesian_conv5_dense1', model_path='log/CMAPSS/FD002/min-max/bayesian_conv5_dense1/bayesian_conv5_dense1_0.50/bayesian_conv5_dense1_0.50_7/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 4737
use_cuda: True
Dataset: CMAPSS/FD002
Restoring BayesianConv5Dense1...
Done.
**** start time: 2019-10-01 01:36:19.391252 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
    BayesianConv2d-1           [-1, 10, 21, 24]             200
           Sigmoid-2           [-1, 10, 21, 24]               0
    BayesianConv2d-3           [-1, 10, 20, 24]           2,000
           Sigmoid-4           [-1, 10, 20, 24]               0
    BayesianConv2d-5           [-1, 10, 21, 24]           2,000
           Sigmoid-6           [-1, 10, 21, 24]               0
    BayesianConv2d-7           [-1, 10, 20, 24]           2,000
           Sigmoid-8           [-1, 10, 20, 24]               0
    BayesianConv2d-9            [-1, 1, 20, 24]              60
         Softplus-10            [-1, 1, 20, 24]               0
          Flatten-11                  [-1, 480]               0
   BayesianLinear-12                  [-1, 100]          96,000
         Softplus-13                  [-1, 100]               0
   BayesianLinear-14                    [-1, 1]             200
         Softplus-15                    [-1, 1]               0
================================================================
Total params: 102,460
Trainable params: 102,460
Non-trainable params: 0
________________________________________________________________
2019-10-01 01:36:19.407433
ground truth | pred +/- std:
18.00 | 5.17 +/- 2.47
97.00 | 81.76 +/- 3.28
97.00 | 86.75 +/- 2.45
151.00 | 128.89 +/- 3.21
148.00 | 108.61 +/- 3.03
94.00 | 100.06 +/- 3.21
56.00 | 63.69 +/- 3.22
134.00 | 105.20 +/- 3.26
35.00 | 54.13 +/- 4.53
120.00 | 108.78 +/- 3.05
23.00 | 27.01 +/- 2.12
101.00 | 94.07 +/- 3.19
79.00 | 69.02 +/- 3.06
13.00 | 17.41 +/- 6.21
55.00 | 55.70 +/- 3.93
39.00 | 42.56 +/- 2.33
13.00 | 25.28 +/- 4.65
39.00 | 66.97 +/- 3.08
79.00 | 95.00 +/- 2.91
43.00 | 63.82 +/- 2.70
14.00 | 1.91 +/- 2.52
97.00 | 68.73 +/- 3.14
59.00 | 110.62 +/- 2.50
14.00 | 19.95 +/- 3.16
108.00 | 98.35 +/- 3.03
8.00 | 0.00 +/- 0.03
99.00 | 94.73 +/- 2.35
10.00 | 0.17 +/- 0.61
43.00 | 72.27 +/- 3.22
8.00 | 0.41 +/- 1.09
78.00 | 76.87 +/- 2.83
57.00 | 77.99 +/- 2.19
134.00 | 129.15 +/- 2.79
110.00 | 70.72 +/- 2.95
142.00 | 116.00 +/- 3.21
180.00 | 112.58 +/- 2.96
161.00 | 97.16 +/- 3.33
126.00 | 76.74 +/- 3.17
167.00 | 130.15 +/- 3.53
192.00 | 113.06 +/- 3.44
115.00 | 97.15 +/- 3.61
75.00 | 109.27 +/- 2.88
88.00 | 89.42 +/- 2.74
142.00 | 91.93 +/- 3.25
63.00 | 94.22 +/- 3.44
37.00 | 28.22 +/- 3.79
86.00 | 121.95 +/- 2.67
122.00 | 111.20 +/- 2.65
19.00 | 1.14 +/- 1.56
80.00 | 61.80 +/- 2.74
188.00 | 104.93 +/- 2.75
155.00 | 112.28 +/- 3.01
155.00 | 114.38 +/- 3.02
14.00 | 4.54 +/- 3.49
111.00 | 104.86 +/- 2.89
116.00 | 114.95 +/- 3.04
120.00 | 98.47 +/- 2.56
152.00 | 133.82 +/- 3.23
98.00 | 111.67 +/- 2.70
139.00 | 92.89 +/- 3.43
53.00 | 42.25 +/- 3.88
48.00 | 37.62 +/- 3.53
173.00 | 123.22 +/- 2.84
13.00 | 10.64 +/- 2.95
55.00 | 49.07 +/- 3.18
34.00 | 45.04 +/- 2.61
141.00 | 107.42 +/- 3.14
14.00 | 2.70 +/- 2.66
17.00 | 6.54 +/- 3.88
97.00 | 86.59 +/- 3.30
88.00 | 72.17 +/- 2.57
83.00 | 108.57 +/- 2.45
106.00 | 116.48 +/- 2.89
183.00 | 101.68 +/- 3.31
158.00 | 103.14 +/- 2.93
15.00 | 23.69 +/- 2.20
81.00 | 91.74 +/- 3.31
172.00 | 116.75 +/- 2.92
15.00 | 42.50 +/- 3.70
146.00 | 112.69 +/- 3.30
148.00 | 121.07 +/- 2.77
191.00 | 83.90 +/- 3.51
9.00 | 0.00 +/- 0.00
30.00 | 65.81 +/- 3.87
92.00 | 98.99 +/- 2.98
111.00 | 121.09 +/- 2.85
23.00 | 74.79 +/- 3.63
79.00 | 81.34 +/- 2.65
67.00 | 72.89 +/- 2.71
181.00 | 90.21 +/- 2.84
82.00 | 94.84 +/- 2.66
126.00 | 119.23 +/- 2.68
6.00 | 0.00 +/- 0.01
75.00 | 51.82 +/- 4.32
22.00 | 13.82 +/- 2.39
14.00 | 21.80 +/- 2.17
43.00 | 60.51 +/- 3.69
131.00 | 111.01 +/- 2.51
165.00 | 107.11 +/- 2.94
84.00 | 109.67 +/- 3.92
11.00 | 0.90 +/- 1.45
89.00 | 107.74 +/- 3.33
151.00 | 126.52 +/- 2.81
42.00 | 41.00 +/- 3.51
9.00 | 43.34 +/- 4.16
18.00 | 28.49 +/- 2.25
80.00 | 92.41 +/- 2.72
52.00 | 67.53 +/- 2.22
15.00 | 13.40 +/- 2.78
9.00 | 0.00 +/- 0.01
62.00 | 43.86 +/- 3.35
97.00 | 95.77 +/- 2.79
168.00 | 103.80 +/- 3.37
194.00 | 95.45 +/- 2.85
82.00 | 70.60 +/- 3.14
