Namespace(batch_size=512, dataset='CMAPSS/FD002', dump_dir='dump/CMAPSS/FD002/min-max/frequentist_dense3/frequentist_dense3_9', model='frequentist_dense3', model_path='log/CMAPSS/FD002/min-max/frequentist_dense3/frequentist_dense3_9/checkpoint.pth.tar', normalization='min-max', num_mc=1)
pid: 6420
use_cuda: True
Dataset: CMAPSS/FD002
Restoring FrequentistDense3...
Done.
**** start time: 2019-10-01 01:51:03.101095 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
           Flatten-1                  [-1, 480]               0
            Linear-2                  [-1, 100]          48,000
           Sigmoid-3                  [-1, 100]               0
            Linear-4                  [-1, 100]          10,000
           Sigmoid-5                  [-1, 100]               0
            Linear-6                  [-1, 100]          10,000
           Sigmoid-7                  [-1, 100]               0
            Linear-8                    [-1, 1]             100
================================================================
Total params: 68,100
Trainable params: 68,100
Non-trainable params: 0
________________________________________________________________
2019-10-01 01:51:03.104104
ground truth | pred +/- std:
18.00 | 16.71 +/- 0.00
97.00 | 70.42 +/- 0.00
97.00 | 49.89 +/- 0.00
151.00 | 120.60 +/- 0.00
148.00 | 117.62 +/- 0.00
94.00 | 116.50 +/- 0.00
56.00 | 40.65 +/- 0.00
134.00 | 117.80 +/- 0.00
35.00 | 74.35 +/- 0.00
120.00 | 114.75 +/- 0.00
23.00 | 31.10 +/- 0.00
101.00 | 73.82 +/- 0.00
79.00 | 101.07 +/- 0.00
13.00 | 24.44 +/- 0.00
55.00 | 45.67 +/- 0.00
39.00 | 42.97 +/- 0.00
13.00 | 19.32 +/- 0.00
39.00 | 74.48 +/- 0.00
79.00 | 112.52 +/- 0.00
43.00 | 45.89 +/- 0.00
14.00 | 18.72 +/- 0.00
97.00 | 62.75 +/- 0.00
59.00 | 121.00 +/- 0.00
14.00 | 8.99 +/- 0.00
108.00 | 90.95 +/- 0.00
8.00 | 7.49 +/- 0.00
99.00 | 106.75 +/- 0.00
10.00 | 7.76 +/- 0.00
43.00 | 64.71 +/- 0.00
8.00 | 9.28 +/- 0.00
78.00 | 47.77 +/- 0.00
57.00 | 57.87 +/- 0.00
134.00 | 121.15 +/- 0.00
110.00 | 76.53 +/- 0.00
142.00 | 115.90 +/- 0.00
180.00 | 116.88 +/- 0.00
161.00 | 94.88 +/- 0.00
126.00 | 73.80 +/- 0.00
167.00 | 120.58 +/- 0.00
192.00 | 117.30 +/- 0.00
115.00 | 99.84 +/- 0.00
75.00 | 111.00 +/- 0.00
88.00 | 60.43 +/- 0.00
142.00 | 99.53 +/- 0.00
63.00 | 89.87 +/- 0.00
37.00 | 26.42 +/- 0.00
86.00 | 120.29 +/- 0.00
122.00 | 116.14 +/- 0.00
19.00 | 10.70 +/- 0.00
80.00 | 49.41 +/- 0.00
188.00 | 110.30 +/- 0.00
155.00 | 117.41 +/- 0.00
155.00 | 117.46 +/- 0.00
14.00 | 15.47 +/- 0.00
111.00 | 120.07 +/- 0.00
116.00 | 117.06 +/- 0.00
120.00 | 112.13 +/- 0.00
152.00 | 120.94 +/- 0.00
98.00 | 114.22 +/- 0.00
139.00 | 102.39 +/- 0.00
53.00 | 37.39 +/- 0.00
48.00 | 40.30 +/- 0.00
173.00 | 121.23 +/- 0.00
13.00 | 12.43 +/- 0.00
55.00 | 45.94 +/- 0.00
34.00 | 39.25 +/- 0.00
141.00 | 115.69 +/- 0.00
14.00 | 6.79 +/- 0.00
17.00 | 21.93 +/- 0.00
97.00 | 71.42 +/- 0.00
88.00 | 89.35 +/- 0.00
83.00 | 85.19 +/- 0.00
106.00 | 119.93 +/- 0.00
183.00 | 119.22 +/- 0.00
158.00 | 99.10 +/- 0.00
15.00 | 22.88 +/- 0.00
81.00 | 103.95 +/- 0.00
172.00 | 112.68 +/- 0.00
15.00 | 28.38 +/- 0.00
146.00 | 118.31 +/- 0.00
148.00 | 121.16 +/- 0.00
191.00 | 88.75 +/- 0.00
9.00 | 10.13 +/- 0.00
30.00 | 69.94 +/- 0.00
92.00 | 113.03 +/- 0.00
111.00 | 120.56 +/- 0.00
23.00 | 41.63 +/- 0.00
79.00 | 77.49 +/- 0.00
67.00 | 67.24 +/- 0.00
181.00 | 98.75 +/- 0.00
82.00 | 65.79 +/- 0.00
126.00 | 115.25 +/- 0.00
6.00 | 11.45 +/- 0.00
75.00 | 33.46 +/- 0.00
22.00 | 22.79 +/- 0.00
14.00 | 28.97 +/- 0.00
43.00 | 38.18 +/- 0.00
131.00 | 120.63 +/- 0.00
165.00 | 118.32 +/- 0.00
84.00 | 115.42 +/- 0.00
11.00 | 9.65 +/- 0.00
89.00 | 119.88 +/- 0.00
151.00 | 121.14 +/- 0.00
42.00 | 41.91 +/- 0.00
9.00 | 30.12 +/- 0.00
18.00 | 44.51 +/- 0.00
80.00 | 119.10 +/- 0.00
52.00 | 54.25 +/- 0.00
15.00 | 9.49 +/- 0.00
9.00 | 9.84 +/- 0.00
62.00 | 33.52 +/- 0.00
97.00 | 80.38 +/- 0.00
168.00 | 120.08 +/- 0.00
194.00 | 88.21 +/- 0.00
82.00 | 110.25 +/- 0.00
15.00 | 29.27 +/- 0.00
124.00 | 96.37 +/- 0.00
10.00 | 17.57 +/- 0.00
152.00 | 119.66 +/- 0.00
6.00 | 12.88 +/- 0.00
81.00 | 59.99 +/- 0.00
47.00 | 41.13 +/- 0.00
6.00 | 11.37 +/- 0.00
10.00 | 22.26 +/- 0.00
112.00 | 117.76 +/- 0.00
144.00 | 75.45 +/- 0.00
85.00 | 62.69 +/- 0.00
6.00 | 18.82 +/- 0.00
98.00 | 120.02 +/- 0.00
67.00 | 109.48 +/- 0.00
23.00 | 11.24 +/- 0.00
53.00 | 56.51 +/- 0.00
37.00 | 77.62 +/- 0.00
52.00 | 47.02 +/- 0.00
77.00 | 82.86 +/- 0.00
73.00 | 98.12 +/- 0.00
85.00 | 121.08 +/- 0.00
9.00 | 17.90 +/- 0.00
183.00 | 118.90 +/- 0.00
83.00 | 116.92 +/- 0.00
54.00 | 88.46 +/- 0.00
121.00 | 108.44 +/- 0.00
13.00 | 34.02 +/- 0.00
39.00 | 40.83 +/- 0.00
163.00 | 108.97 +/- 0.00
73.00 | 119.97 +/- 0.00
11.00 | 14.04 +/- 0.00
83.00 | 66.32 +/- 0.00
115.00 | 107.10 +/- 0.00
8.00 | 22.48 +/- 0.00
8.00 | 6.76 +/- 0.00
138.00 | 111.91 +/- 0.00
78.00 | 86.72 +/- 0.00
27.00 | 35.61 +/- 0.00
135.00 | 51.80 +/- 0.00
150.00 | 79.99 +/- 0.00
121.00 | 117.97 +/- 0.00
106.00 | 103.15 +/- 0.00
86.00 | 64.93 +/- 0.00
96.00 | 117.19 +/- 0.00
104.00 | 75.17 +/- 0.00
103.00 | 115.35 +/- 0.00
182.00 | 90.62 +/- 0.00
51.00 | 95.32 +/- 0.00
167.00 | 118.38 +/- 0.00
26.00 | 19.42 +/- 0.00
51.00 | 78.04 +/- 0.00
78.00 | 55.22 +/- 0.00
61.00 | 46.80 +/- 0.00
98.00 | 100.34 +/- 0.00
179.00 | 88.59 +/- 0.00
36.00 | 21.65 +/- 0.00
17.00 | 15.99 +/- 0.00
108.00 | 75.85 +/- 0.00
38.00 | 42.06 +/- 0.00
11.00 | 20.88 +/- 0.00
50.00 | 60.31 +/- 0.00
14.00 | 16.73 +/- 0.00
87.00 | 53.12 +/- 0.00
7.00 | 2.84 +/- 0.00
48.00 | 53.39 +/- 0.00
122.00 | 118.50 +/- 0.00
41.00 | 70.45 +/- 0.00
155.00 | 120.33 +/- 0.00
90.00 | 40.23 +/- 0.00
131.00 | 118.67 +/- 0.00
95.00 | 95.87 +/- 0.00
103.00 | 108.77 +/- 0.00
17.00 | 12.25 +/- 0.00
32.00 | 97.92 +/- 0.00
103.00 | 93.59 +/- 0.00
79.00 | 110.60 +/- 0.00
171.00 | 112.57 +/- 0.00
101.00 | 67.94 +/- 0.00
8.00 | 16.58 +/- 0.00
74.00 | 84.95 +/- 0.00
68.00 | 112.31 +/- 0.00
106.00 | 109.38 +/- 0.00
56.00 | 61.45 +/- 0.00
107.00 | 84.85 +/- 0.00
99.00 | 120.15 +/- 0.00
21.00 | 38.03 +/- 0.00
47.00 | 37.22 +/- 0.00
165.00 | 121.38 +/- 0.00
88.00 | 54.69 +/- 0.00
73.00 | 78.40 +/- 0.00
56.00 | 36.64 +/- 0.00
16.00 | 12.69 +/- 0.00
7.00 | 1.65 +/- 0.00
73.00 | 54.99 +/- 0.00
73.00 | 90.59 +/- 0.00
106.00 | 100.61 +/- 0.00
48.00 | 40.98 +/- 0.00
181.00 | 66.82 +/- 0.00
8.00 | 21.08 +/- 0.00
12.00 | 17.04 +/- 0.00
11.00 | 19.67 +/- 0.00
9.00 | 9.92 +/- 0.00
49.00 | 50.29 +/- 0.00
12.00 | 7.30 +/- 0.00
191.00 | 121.01 +/- 0.00
35.00 | 58.47 +/- 0.00
145.00 | 120.72 +/- 0.00
67.00 | 118.28 +/- 0.00
6.00 | 10.40 +/- 0.00
91.00 | 48.49 +/- 0.00
121.00 | 111.63 +/- 0.00
151.00 | 104.80 +/- 0.00
121.00 | 118.60 +/- 0.00
37.00 | 31.99 +/- 0.00
36.00 | 34.09 +/- 0.00
91.00 | 119.88 +/- 0.00
108.00 | 119.69 +/- 0.00
174.00 | 98.71 +/- 0.00
31.00 | 17.15 +/- 0.00
122.00 | 119.77 +/- 0.00
153.00 | 119.63 +/- 0.00
68.00 | 55.48 +/- 0.00
145.00 | 118.03 +/- 0.00
93.00 | 118.95 +/- 0.00
61.00 | 63.97 +/- 0.00
100.00 | 115.21 +/- 0.00
44.00 | 35.27 +/- 0.00
15.00 | 12.42 +/- 0.00
121.00 | 118.20 +/- 0.00
12.00 | 22.89 +/- 0.00
101.00 | 109.47 +/- 0.00
178.00 | 116.18 +/- 0.00
86.00 | 98.70 +/- 0.00
68.00 | 75.29 +/- 0.00
7.00 | 9.82 +/- 0.00
123.00 | 120.56 +/- 0.00
106.00 | 114.40 +/- 0.00
148.00 | 118.93 +/- 0.00
11.00 | 6.08 +/- 0.00
169.00 | 117.88 +/- 0.00
190.00 | 110.66 +/- 0.00
11.00 | 28.20 +/- 0.00
132.00 | 120.53 +/- 0.00
eval mean loss: 502.59
eval rmse: 31.70
eval mae: 22.76
eval score: 22461.23
epistemic: 0.00
epoch: 249
ground truth std: 53.78
pred std: 40.29
eval time: 0:00:01.561738
**** end time: 2019-10-01 01:51:04.666043 ****
