Namespace(batch_size=512, dataset='CMAPSS/FD003', dump_dir='dump/CMAPSS/FD003/min-max/bayesian_conv2_pool2/bayesian_conv2_pool2_4', model='bayesian_conv2_pool2', model_path='log/CMAPSS/FD003/min-max/bayesian_conv2_pool2/bayesian_conv2_pool2_4/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 7484
use_cuda: True
Dataset: CMAPSS/FD003
Restoring BayesianConv2Pool2...
Done.
**** start time: 2019-10-01 02:00:22.894665 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
    BayesianConv2d-1             [-1, 8, 26, 1]           1,120
           Sigmoid-2             [-1, 8, 26, 1]               0
         AvgPool2d-3             [-1, 8, 13, 1]               0
    BayesianConv2d-4            [-1, 14, 12, 1]             448
           Sigmoid-5            [-1, 14, 12, 1]               0
         AvgPool2d-6             [-1, 14, 6, 1]               0
           Flatten-7                   [-1, 84]               0
    BayesianLinear-8                    [-1, 1]             168
          Softplus-9                    [-1, 1]               0
================================================================
Total params: 1,736
Trainable params: 1,736
Non-trainable params: 0
________________________________________________________________
2019-10-01 02:00:22.904634
ground truth | pred +/- std:
67.00 | 113.59 +/- 0.82
115.00 | 115.46 +/- 0.79
93.00 | 79.15 +/- 0.95
123.00 | 115.22 +/- 0.94
8.00 | 41.11 +/- 0.66
86.00 | 69.75 +/- 0.82
128.00 | 115.91 +/- 0.92
40.00 | 83.12 +/- 1.19
71.00 | 82.19 +/- 0.79
58.00 | 60.36 +/- 0.80
128.00 | 99.29 +/- 1.02
65.00 | 91.70 +/- 1.00
51.00 | 83.38 +/- 0.91
27.00 | 77.15 +/- 0.85
124.00 | 115.40 +/- 1.04
120.00 | 114.93 +/- 0.89
137.00 | 112.94 +/- 1.00
99.00 | 104.15 +/- 0.98
20.00 | 41.20 +/- 0.58
11.00 | 42.01 +/- 0.67
45.00 | 59.67 +/- 0.71
115.00 | 97.21 +/- 0.96
115.00 | 83.06 +/- 0.95
89.00 | 87.10 +/- 0.97
63.00 | 100.42 +/- 0.93
44.00 | 54.97 +/- 0.59
66.00 | 98.14 +/- 0.89
81.00 | 94.75 +/- 0.89
144.00 | 115.67 +/- 0.88
137.00 | 115.92 +/- 0.91
88.00 | 81.38 +/- 0.93
100.00 | 115.14 +/- 0.88
69.00 | 76.34 +/- 0.96
145.00 | 101.14 +/- 0.90
92.00 | 94.90 +/- 0.91
78.00 | 106.59 +/- 0.92
18.00 | 42.28 +/- 0.69
56.00 | 115.94 +/- 0.89
129.00 | 115.98 +/- 0.85
115.00 | 101.64 +/- 0.99
117.00 | 113.06 +/- 0.87
120.00 | 104.89 +/- 0.93
41.00 | 43.21 +/- 0.62
133.00 | 116.00 +/- 0.85
41.00 | 105.05 +/- 0.98
6.00 | 41.37 +/- 0.69
7.00 | 41.85 +/- 0.62
18.00 | 46.82 +/- 0.65
51.00 | 50.98 +/- 0.65
55.00 | 58.76 +/- 0.92
71.00 | 76.15 +/- 0.97
101.00 | 115.95 +/- 0.91
58.00 | 106.10 +/- 0.98
31.00 | 44.20 +/- 0.67
79.00 | 87.66 +/- 0.92
9.00 | 41.10 +/- 0.62
17.00 | 41.24 +/- 0.60
111.00 | 115.44 +/- 0.86
49.00 | 48.17 +/- 0.60
56.00 | 106.52 +/- 0.93
104.00 | 109.17 +/- 0.92
113.00 | 52.59 +/- 0.74
135.00 | 115.94 +/- 0.88
117.00 | 115.76 +/- 1.00
87.00 | 112.95 +/- 0.97
15.00 | 51.61 +/- 0.72
25.00 | 41.34 +/- 0.63
55.00 | 50.73 +/- 0.76
131.00 | 115.66 +/- 1.02
55.00 | 49.81 +/- 0.68
45.00 | 87.17 +/- 0.88
11.00 | 67.54 +/- 0.97
103.00 | 115.98 +/- 0.95
77.00 | 65.02 +/- 0.95
55.00 | 82.66 +/- 0.87
10.00 | 41.18 +/- 0.61
56.00 | 75.24 +/- 0.84
127.00 | 113.73 +/- 0.88
14.00 | 41.18 +/- 0.63
68.00 | 76.24 +/- 0.90
88.00 | 107.75 +/- 0.91
87.00 | 112.40 +/- 0.82
8.00 | 41.18 +/- 0.69
22.00 | 61.86 +/- 0.82
55.00 | 67.62 +/- 0.81
87.00 | 104.43 +/- 0.93
85.00 | 114.90 +/- 0.96
78.00 | 53.99 +/- 0.73
108.00 | 115.43 +/- 0.86
144.00 | 115.44 +/- 0.89
119.00 | 115.65 +/- 0.99
99.00 | 112.20 +/- 0.93
145.00 | 115.07 +/- 0.98
87.00 | 76.14 +/- 0.98
28.00 | 42.75 +/- 0.64
136.00 | 112.01 +/- 0.94
27.00 | 41.54 +/- 0.62
132.00 | 115.40 +/- 0.91
28.00 | 45.06 +/- 0.71
35.00 | 41.54 +/- 0.62
eval mean loss: 327.83
eval rmse: 25.61
eval mae: 20.81
eval score: 2771.50
epistemic: 0.73
epoch: 249
ground truth std: 41.40
pred std: 28.50
eval time: 0:00:01.900826
**** end time: 2019-10-01 02:00:24.805670 ****
