Namespace(batch_size=512, dataset='CMAPSS/FD003', dump_dir='dump/CMAPSS/FD003/min-max/bayesian_conv5_dense1/bayesian_conv5_dense1_3', model='bayesian_conv5_dense1', model_path='log/CMAPSS/FD003/min-max/bayesian_conv5_dense1/bayesian_conv5_dense1_3/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 6520
use_cuda: True
Dataset: CMAPSS/FD003
Restoring BayesianConv5Dense1...
Done.
**** start time: 2019-10-01 01:51:50.396160 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
    BayesianConv2d-1           [-1, 10, 31, 14]             200
           Sigmoid-2           [-1, 10, 31, 14]               0
    BayesianConv2d-3           [-1, 10, 30, 14]           2,000
           Sigmoid-4           [-1, 10, 30, 14]               0
    BayesianConv2d-5           [-1, 10, 31, 14]           2,000
           Sigmoid-6           [-1, 10, 31, 14]               0
    BayesianConv2d-7           [-1, 10, 30, 14]           2,000
           Sigmoid-8           [-1, 10, 30, 14]               0
    BayesianConv2d-9            [-1, 1, 30, 14]              60
         Softplus-10            [-1, 1, 30, 14]               0
          Flatten-11                  [-1, 420]               0
   BayesianLinear-12                  [-1, 100]          84,000
         Softplus-13                  [-1, 100]               0
   BayesianLinear-14                    [-1, 1]             200
         Softplus-15                    [-1, 1]               0
================================================================
Total params: 90,460
Trainable params: 90,460
Non-trainable params: 0
________________________________________________________________
2019-10-01 01:51:50.412608
ground truth | pred +/- std:
67.00 | 86.81 +/- 4.18
115.00 | 126.82 +/- 2.89
93.00 | 92.70 +/- 3.73
123.00 | 128.98 +/- 2.72
8.00 | 7.68 +/- 1.82
86.00 | 76.07 +/- 2.89
128.00 | 108.82 +/- 3.75
40.00 | 45.30 +/- 4.27
71.00 | 82.78 +/- 3.78
58.00 | 69.88 +/- 3.73
128.00 | 113.32 +/- 2.68
65.00 | 94.57 +/- 3.76
51.00 | 81.42 +/- 4.17
27.00 | 20.36 +/- 4.60
124.00 | 111.57 +/- 4.24
120.00 | 111.41 +/- 2.41
137.00 | 116.93 +/- 3.49
99.00 | 111.81 +/- 3.11
20.00 | 24.09 +/- 1.94
11.00 | 13.00 +/- 4.55
45.00 | 48.22 +/- 3.25
115.00 | 105.54 +/- 3.82
115.00 | 112.65 +/- 2.72
89.00 | 92.95 +/- 2.53
63.00 | 81.35 +/- 3.88
44.00 | 46.62 +/- 2.69
66.00 | 82.33 +/- 2.94
81.00 | 106.11 +/- 3.12
144.00 | 123.27 +/- 2.94
137.00 | 120.55 +/- 2.63
88.00 | 79.41 +/- 3.93
100.00 | 122.76 +/- 2.42
69.00 | 77.52 +/- 3.92
145.00 | 120.03 +/- 2.81
92.00 | 100.01 +/- 3.12
78.00 | 92.26 +/- 4.20
18.00 | 17.53 +/- 1.77
56.00 | 100.75 +/- 3.83
129.00 | 128.37 +/- 3.14
115.00 | 112.86 +/- 3.28
117.00 | 120.47 +/- 2.86
120.00 | 123.59 +/- 2.69
41.00 | 37.50 +/- 1.95
133.00 | 120.97 +/- 2.48
41.00 | 43.57 +/- 4.32
6.00 | 7.61 +/- 1.90
7.00 | 6.27 +/- 1.74
18.00 | 23.00 +/- 4.25
51.00 | 41.89 +/- 2.83
55.00 | 49.45 +/- 4.08
71.00 | 56.45 +/- 4.35
101.00 | 116.25 +/- 3.43
58.00 | 51.28 +/- 3.38
31.00 | 27.72 +/- 4.15
79.00 | 80.42 +/- 2.76
9.00 | 10.39 +/- 2.04
17.00 | 12.27 +/- 2.46
111.00 | 125.69 +/- 2.75
49.00 | 40.93 +/- 3.22
56.00 | 96.21 +/- 3.49
104.00 | 93.70 +/- 3.53
113.00 | 85.08 +/- 3.08
135.00 | 121.61 +/- 2.69
117.00 | 122.74 +/- 3.39
87.00 | 109.08 +/- 3.29
15.00 | 12.62 +/- 2.16
25.00 | 19.49 +/- 2.63
55.00 | 67.50 +/- 3.29
131.00 | 121.02 +/- 2.39
55.00 | 59.85 +/- 3.43
45.00 | 50.02 +/- 2.84
11.00 | 3.46 +/- 3.49
103.00 | 108.63 +/- 4.01
77.00 | 87.72 +/- 2.93
55.00 | 76.56 +/- 4.49
10.00 | 9.74 +/- 2.05
56.00 | 57.70 +/- 3.40
127.00 | 107.54 +/- 2.62
14.00 | 15.46 +/- 1.93
68.00 | 69.41 +/- 3.08
88.00 | 108.93 +/- 3.46
87.00 | 122.67 +/- 2.56
8.00 | 8.16 +/- 1.83
22.00 | 34.91 +/- 4.06
55.00 | 68.96 +/- 4.26
87.00 | 116.24 +/- 3.14
85.00 | 123.82 +/- 2.87
78.00 | 78.85 +/- 2.97
108.00 | 114.81 +/- 2.56
144.00 | 119.38 +/- 2.69
119.00 | 116.53 +/- 3.21
99.00 | 120.87 +/- 2.75
145.00 | 121.63 +/- 2.66
87.00 | 101.74 +/- 3.11
28.00 | 24.79 +/- 1.97
136.00 | 112.31 +/- 3.16
27.00 | 34.40 +/- 2.21
132.00 | 114.85 +/- 2.97
28.00 | 24.82 +/- 1.72
35.00 | 35.82 +/- 2.46
eval mean loss: 114.54
eval rmse: 15.11
eval mae: 11.40
eval score: 464.68
epistemic: 10.16
epoch: 249
ground truth std: 41.40
pred std: 39.84
eval time: 0:00:05.610499
**** end time: 2019-10-01 01:51:56.023333 ****
