Namespace(batch_size=512, dataset='CMAPSS/FD003', dump_dir='dump/CMAPSS/FD003/min-max/bayesian_dense3/bayesian_dense3_0.125/bayesian_dense3_0.125_7', model='bayesian_dense3', model_path='log/CMAPSS/FD003/min-max/bayesian_dense3/bayesian_dense3_0.125/bayesian_dense3_0.125_7/checkpoint.pth.tar', normalization='min-max', num_mc=150)
pid: 24544
use_cuda: True
Dataset: CMAPSS/FD003
Restoring BayesianDense3...
Done.
**** start time: 2019-10-01 14:57:51.006367 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
           Flatten-1                  [-1, 420]               0
    BayesianLinear-2                  [-1, 100]          84,000
           Sigmoid-3                  [-1, 100]               0
    BayesianLinear-4                  [-1, 100]          20,000
           Sigmoid-5                  [-1, 100]               0
    BayesianLinear-6                  [-1, 100]          20,000
           Sigmoid-7                  [-1, 100]               0
    BayesianLinear-8                    [-1, 1]             200
          Softplus-9                    [-1, 1]               0
================================================================
Total params: 124,200
Trainable params: 124,200
Non-trainable params: 0
________________________________________________________________
2019-10-01 14:57:51.015617
ground truth | pred +/- std:
67.00 | 85.18 +/- 8.83
115.00 | 86.02 +/- 8.59
93.00 | 83.26 +/- 9.95
123.00 | 85.95 +/- 9.30
8.00 | 10.28 +/- 4.66
86.00 | 65.31 +/- 11.79
128.00 | 86.60 +/- 9.66
40.00 | 66.01 +/- 10.73
71.00 | 82.73 +/- 10.17
58.00 | 61.80 +/- 13.03
128.00 | 86.26 +/- 8.42
65.00 | 82.10 +/- 9.72
51.00 | 79.27 +/- 10.99
27.00 | 38.96 +/- 9.16
124.00 | 85.86 +/- 8.81
120.00 | 85.92 +/- 9.04
137.00 | 86.40 +/- 9.55
99.00 | 85.06 +/- 9.33
20.00 | 25.17 +/- 6.97
11.00 | 19.26 +/- 6.57
45.00 | 66.82 +/- 11.45
115.00 | 86.19 +/- 8.62
115.00 | 85.68 +/- 9.87
89.00 | 73.35 +/- 10.78
63.00 | 81.35 +/- 9.35
44.00 | 63.05 +/- 11.53
66.00 | 78.26 +/- 11.27
81.00 | 86.23 +/- 9.11
144.00 | 85.66 +/- 8.51
137.00 | 86.18 +/- 9.44
88.00 | 74.10 +/- 10.57
100.00 | 84.84 +/- 9.31
69.00 | 79.22 +/- 9.81
145.00 | 87.74 +/- 8.48
92.00 | 86.11 +/- 9.33
78.00 | 86.73 +/- 9.07
18.00 | 15.93 +/- 5.73
56.00 | 86.24 +/- 8.96
129.00 | 86.21 +/- 8.38
115.00 | 86.04 +/- 9.02
117.00 | 86.88 +/- 8.64
120.00 | 85.79 +/- 8.84
41.00 | 33.44 +/- 7.74
133.00 | 86.26 +/- 9.21
41.00 | 80.04 +/- 8.94
6.00 | 9.42 +/- 4.85
7.00 | 13.80 +/- 5.47
18.00 | 22.78 +/- 7.63
51.00 | 51.41 +/- 10.62
55.00 | 45.49 +/- 10.02
71.00 | 71.51 +/- 11.25
101.00 | 85.84 +/- 9.25
58.00 | 81.02 +/- 9.63
31.00 | 26.46 +/- 8.27
79.00 | 82.73 +/- 8.43
9.00 | 11.49 +/- 5.75
17.00 | 15.21 +/- 6.25
111.00 | 86.06 +/- 8.96
49.00 | 41.44 +/- 10.05
56.00 | 84.69 +/- 9.88
104.00 | 84.02 +/- 8.49
113.00 | 75.05 +/- 11.18
135.00 | 85.40 +/- 8.21
117.00 | 85.86 +/- 8.54
87.00 | 84.99 +/- 7.98
15.00 | 21.74 +/- 6.20
25.00 | 14.55 +/- 5.10
55.00 | 55.26 +/- 12.65
131.00 | 86.30 +/- 9.37
55.00 | 48.08 +/- 11.21
45.00 | 48.20 +/- 10.12
11.00 | 25.30 +/- 7.95
103.00 | 85.86 +/- 8.02
77.00 | 74.61 +/- 11.20
55.00 | 71.22 +/- 10.95
10.00 | 9.78 +/- 5.20
56.00 | 79.25 +/- 10.47
127.00 | 85.43 +/- 9.34
14.00 | 12.42 +/- 5.05
68.00 | 81.79 +/- 10.08
88.00 | 84.42 +/- 8.14
87.00 | 85.81 +/- 9.41
8.00 | 9.55 +/- 4.78
22.00 | 28.56 +/- 7.18
55.00 | 56.51 +/- 13.07
87.00 | 84.93 +/- 8.76
85.00 | 86.03 +/- 8.24
78.00 | 60.42 +/- 10.73
108.00 | 85.27 +/- 8.66
144.00 | 85.99 +/- 8.88
119.00 | 85.05 +/- 8.37
99.00 | 84.65 +/- 8.31
145.00 | 85.70 +/- 9.25
87.00 | 81.66 +/- 8.81
28.00 | 35.15 +/- 8.04
136.00 | 87.27 +/- 9.73
27.00 | 36.27 +/- 8.09
132.00 | 85.97 +/- 9.88
28.00 | 25.16 +/- 6.31
35.00 | 29.71 +/- 8.66
eval mean loss: 445.24
eval rmse: 25.24
eval mae: 19.11
eval score: 1107.01
epistemic: 83.07
epoch: 249
ground truth std: 41.40
pred std: 26.64
eval time: 0:00:06.012878
**** end time: 2019-10-01 14:57:57.028809 ****
