Namespace(batch_size=512, dataset='CMAPSS/FD004', dump_dir='dump/CMAPSS/FD004/min-max/frequentist_conv2_pool2/frequentist_conv2_pool2_8', model='frequentist_conv2_pool2', model_path='log/CMAPSS/FD004/min-max/frequentist_conv2_pool2/frequentist_conv2_pool2_8/checkpoint.pth.tar', normalization='min-max', num_mc=1)
pid: 17673
use_cuda: True
Dataset: CMAPSS/FD004
Restoring FrequentistConv2Pool2...
Done.
**** start time: 2019-09-27 01:59:56.761662 ****
________________________________________________________________
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 8, 11, 11]             560
           Sigmoid-2            [-1, 8, 11, 11]               0
         AvgPool2d-3             [-1, 8, 5, 11]               0
            Conv2d-4            [-1, 14, 4, 11]             224
           Sigmoid-5            [-1, 14, 4, 11]               0
         AvgPool2d-6            [-1, 14, 2, 11]               0
           Flatten-7                  [-1, 308]               0
            Linear-8                    [-1, 1]             308
================================================================
Total params: 1,092
Trainable params: 1,092
Non-trainable params: 0
________________________________________________________________
2019-09-27 01:59:56.767329
ground truth | pred +/- std:
39.00 | 27.46 +/- 0.00
157.00 | 113.93 +/- 0.00
97.00 | 105.39 +/- 0.00
194.00 | 127.89 +/- 0.00
189.00 | 128.83 +/- 0.00
8.00 | 25.36 +/- 0.00
89.00 | 108.58 +/- 0.00
75.00 | 110.80 +/- 0.00
78.00 | 92.11 +/- 0.00
151.00 | 100.10 +/- 0.00
107.00 | 81.98 +/- 0.00
17.00 | 1.78 +/- 0.00
133.00 | 93.26 +/- 0.00
166.00 | 119.22 +/- 0.00
22.00 | 32.47 +/- 0.00
109.00 | 73.25 +/- 0.00
91.00 | 103.72 +/- 0.00
126.00 | 65.90 +/- 0.00
96.00 | 99.62 +/- 0.00
34.00 | 32.57 +/- 0.00
11.00 | 31.75 +/- 0.00
104.00 | 103.58 +/- 0.00
88.00 | 87.05 +/- 0.00
176.00 | 109.86 +/- 0.00
78.00 | 119.37 +/- 0.00
88.00 | 109.68 +/- 0.00
46.00 | 21.91 +/- 0.00
101.00 | 82.00 +/- 0.00
46.00 | 75.52 +/- 0.00
7.00 | 41.17 +/- 0.00
118.00 | 120.14 +/- 0.00
18.00 | 20.06 +/- 0.00
154.00 | 125.53 +/- 0.00
145.00 | 113.15 +/- 0.00
151.00 | 125.75 +/- 0.00
96.00 | 102.85 +/- 0.00
66.00 | 53.36 +/- 0.00
